text,id,round,classification_explanation,classification_confidence,classification_justification
"I need to remember that the group agrees on the importance of flexibility and transparency in our fishing approach, and they support adjusting individual quotas based on the monthly regeneration factor, implementing a transparent monitoring and reporting system, and ensuring that incentives and penalties are fair and not overly harsh",user_7,2,"The text demonstrates a focus on collective well-being, fairness, and shared outcomes through collaborative decision-making. The emphasis on transparency, group agreement, and equitable incentive structures suggests a prosocial orientation that prioritizes mutual benefit and cooperative problem-solving.",0.9,Prosocial
,user_8,2,No text provided.,0.0,Other
"Insight: The group values a collaborative and adaptive approach to fishing, emphasizing the importance of flexibility, transparency, and fairness in managing the lake's resources",user_9,2,"The text emphasizes collaborative management, fairness, and shared resource outcomes, which strongly aligns with the prosocial orientation of maximizing both individual and collective benefits",0.9,Prosocial
"Response: Thank you, Kate, Jack, and Emma, for your thoughtful contributions",user_17,3,"The text appears to be a polite acknowledgment of others' contributions, showing appreciation and recognition of their input without clear evidence of a specific social value orientation",0.5,None
"Response: Thank you, Kate, Jack, and Emma, for your thoughtful contributions",user_18,3,"The text appears to be a polite acknowledgment of others' contributions, showing appreciation and recognition of their input without clear evidence of a specific social value orientation",0.5,None
Julia values collaboration and communication with other fishermen,user_19,3,"Julia's emphasis on collaboration suggests a prosocial orientation, where she values working together and potentially maximizing outcomes for both herself and other fishermen",0.75,Prosocial
"I need to remember that all the fishermen, including myself, have agreed to an immediate fishing moratorium for the next month to allow the fish population to regenerate, and we have collectively supported the implementation of a revised quota system with a total allowable catch of 50 tons per month, along with transparent monitoring and reporting to ensure compliance and the development of a long-term strategy for sustainable fishing",user_27,5,"The text demonstrates a collective decision-making approach focused on shared long-term sustainability, where the individual's interests are balanced with group welfare and environmental preservation. The fishermen have mutually agreed to a moratorium and quota system that benefits the entire community and ecosystem.",0.9,Prosocial
"From my perspective, it is interesting to see that despite my initial focus on maximizing personal gain, the collective agreement among all the fishermen to implement an immediate fishing moratorium and a revised quota system highlights a strong sense of community responsibility and a shared commitment to sustainable fishing practices",user_28,5,"The text demonstrates a shift from initial self-interest to a collective, community-oriented approach that prioritizes shared sustainability. This reflects a prosocial orientation where the individual recognizes the importance of maximizing outcomes for the entire group rather than just personal gain.",0.9,Prosocial
"**Collective Action for Sustainability**: The fishermen, including Julia, have recognized the importance of sustainable fishing practices and have collectively agreed to a fishing moratorium and a revised quota system to allow the fish population to regenerate",user_29,5,"The fishermen collectively agreed to a fishing moratorium and quota system that benefits the entire community and ecosystem, prioritizing long-term sustainability over individual short-term gains",0.9,Prosocial
"**Shift in Priorities**: Julia's perspective has shifted from focusing solely on personal gain to valuing community responsibility and long-term sustainability, indicating a change in mindset towards more ethical and sustainable fishing practices",user_30,5,"The text suggests a shift from self-interest towards considering broader community and sustainability goals, which aligns most closely with a prosocial orientation. Julia is demonstrating a mindset that values collective outcomes and ethical considerations beyond personal gain.",0.75,Prosocial
"Response: Thank you, everyone, for your thoughtful contributions and support for the proposed measures",user_38,6,"The text appears to be a neutral acknowledgment expressing gratitude, without clear evidence of a specific social value orientation. The response shows appreciation for collective input, but does not demonstrate a strong bias towards maximizing personal or others' outcomes.",0.5,None
"Response: Thank you, everyone, for your thoughtful contributions and support for the proposed measures",user_39,6,"The text appears to be a neutral acknowledgment expressing gratitude, without clear evidence of a specific social value orientation. The response shows appreciation for collective input, but does not demonstrate a strong bias towards maximizing personal or others' outcomes.",0.5,None
The community agreed on a maximum limit of 10 tons of fish per person.,user_40,6,"The text suggests a collective decision that considers fairness and equal distribution of resources among community members, with a shared limit that prevents individual exploitation while ensuring everyone has an equitable opportunity",0.75,Prosocial
The community values sustainable fishing practices,user_41,6,"The statement suggests a collective concern for shared resources and long-term community well-being, which aligns with prosocial values of maximizing outcomes for the group and ensuring sustainability",0.75,Prosocial
Julia is an active participant in community discussions and appreciates collective decision-making,user_42,6,"Julia's appreciation for collective decision-making and active community participation suggests a prosocial orientation, where she values group outcomes and collaborative approaches",0.75,Prosocial
There is a consensus among the fishermen to adhere to agreed-upon limits to ensure the long-term health of the lake's fish population,user_43,6,"The fishermen are collectively agreeing to limit their individual fishing to preserve the shared resource, demonstrating a concern for both collective well-being and long-term sustainability",0.9,Prosocial
"I need to remember that we have collectively agreed to set a total catch limit of 100 tons for the next month, with the following quotas: Julia (myself) 10 tons, Kate 10 tons, Jack 10 tons, Emma 10 tons, Luke 10 tons, Noah 10 tons, Olivia 10 tons, and Liam 30 tons, and that I am responsible for setting up a system to monitor the lake's regeneration factor and facilitate monthly reviews to adjust quotas as needed",user_51,7,"The text demonstrates a prosocial approach by establishing a collective agreement with a shared catch limit, ensuring fair distribution of quotas among group members, and planning collaborative monitoring of the lake's ecosystem. The individual is focused on group outcomes, sustainability, and equitable resource management.",0.9,Prosocial
"From my perspective, I found it interesting that despite my initial agenda focusing on maximizing personal gain and competitive advantage, the collective discussion among the fishermen led to a consensus on setting sustainable fishing quotas and establishing a system to monitor the lake's regeneration factor, highlighting the importance of collaboration and adaptability in resource management",user_52,7,"The text demonstrates a shift from an initial competitive/individualistic mindset towards a prosocial approach, where the collective group prioritizes sustainable resource management and mutual benefit over individual gain. The key phrases 'consensus', 'sustainable fishing quotas', and 'collaboration' strongly indicate a prosocial orientation that seeks to maximize outcomes for the entire community.",0.9,Prosocial
The community agreed on a maximum limit of 10 tons of fish per person.,user_53,7,"The text suggests a collective decision that considers fairness and equal distribution of resources among community members, with a shared limit that prevents individual exploitation while ensuring everyone has an equitable opportunity",0.75,Prosocial
"**Collaboration and Sustainability**: The fishermen, including Julia, have recognized the importance of collaboration and sustainable practices in managing the lake's fish population",user_54,7,"The text emphasizes collective decision-making focused on shared outcomes and mutual benefit, with the fishermen working together to manage the lake's fish population sustainably. This suggests a prosocial orientation where the group prioritizes both individual and collective well-being.",0.9,Prosocial
"**Quota System Implementation**: A quota system has been established to ensure that the total catch does not exceed the lake's carrying capacity, with specific limits assigned to each fisherman",user_55,7,The quota system demonstrates a prosocial approach by balancing individual fishing interests with the collective sustainability of the lake's ecosystem. It aims to maximize outcomes for both individual fishermen and the broader environmental context by preventing overfishing and ensuring long-term resource preservation.,0.9,Prosocial
"**Monitoring and Adaptability**: Julia has been tasked with setting up a system to monitor the lake's regeneration factor and facilitate monthly reviews, indicating a proactive approach to adapt quotas based on the lake's health and regeneration rates",user_56,7,"Julia's approach demonstrates a proactive and balanced strategy that considers both systemic outcomes and collective well-being, focusing on adaptive management that benefits the broader ecosystem rather than purely self-interested goals",0.75,Prosocial
"I need to remember that we have agreed on an immediate fishing moratorium to allow the fish population to regenerate, followed by setting a total allowable catch of 50 tons for the entire group once the population has recovered, and the formation of a small committee to oversee the monitoring and enforcement of these quotas to ensure transparency and accountability",user_64,9,"The text demonstrates a prosocial approach by prioritizing collective resource management, focusing on sustainable fishing practices that benefit the entire group. The decision emphasizes shared outcomes, long-term population recovery, transparency, and collaborative oversight through a committee, which aligns with prosocial value orientation of maximizing outcomes for all stakeholders.",0.9,Prosocial
"From my perspective, I found it interesting how quickly and unanimously the group reached a consensus on implementing an immediate fishing moratorium and setting strict future quotas, highlighting a collective recognition of the importance of sustainable fishing practices for long-term success",user_65,9,"The text suggests a collective decision-making approach focused on shared outcomes and long-term sustainability, which aligns most closely with the prosocial orientation. The group's unanimous consensus and emphasis on mutual benefit (sustainable fishing practices for long-term success) indicates a cooperative mindset that prioritizes both group and individual interests.",0.9,Prosocial
,user_66,9,No text provided.,0.0,Other
"I need to remember that we have agreed on a total fishing quota of 50 tons for the next month, with my personal quota set at 10 tons, and we will implement a monitoring and reporting system along with a rotating leadership system to ensure transparency, adherence to quotas, and fair representation of everyone's interests",user_74,10,"The text demonstrates a balanced approach that considers collective interests, fairness, and individual contributions. The speaker emphasizes shared agreement, transparency, and equitable representation through a rotating leadership system and quota allocation. This suggests a prosocial orientation that seeks to maximize outcomes for both the individual and the group.",0.9,Prosocial
"From my perspective, I found it interesting that despite my initial focus on maximizing personal gain, the collective agreement among the fishermen to implement a conservative fishing quota, a monitoring and reporting system, and a rotating leadership system demonstrates a strong commitment to sustainable fishing practices and shared responsibility",user_75,10,"The text shows a transition from an initial individualistic focus to a more prosocial approach, where the individual recognizes the value of collective decision-making, shared responsibility, and sustainable practices that benefit the entire group of fishermen",0.9,"Prosocial, Individualistic"
The community agreed on a maximum limit of 10 tons of fish per person.,user_76,10,"The text suggests a collective decision that considers fairness and equal distribution of resources among community members, with a shared limit that prevents individual exploitation while ensuring everyone has an equitable opportunity",0.75,Prosocial
**Commitment to Sustainability**,user_77,10,"The text 'Commitment to Sustainability' suggests a broader concern for collective well-being and environmental outcomes, which aligns most closely with a prosocial orientation that considers broader societal and ecological interests beyond individual gain",0.75,Prosocial
**Collective Decision-Making**,user_78,10,"The text 'Collective Decision-Making' suggests a collaborative approach that involves multiple parties working together to reach a decision, which aligns most closely with the prosocial orientation of maximizing outcomes for all involved",0.75,Prosocial
**Transparency and Accountability**,user_79,10,"The text 'Transparency and Accountability' is a brief phrase that does not provide sufficient context to definitively determine a specific Social Value Orientation (SVO) type. It appears to be a general principle or concept related to ethical behavior, but does not reveal a clear individual decision-making strategy.",0.2,None
"Response: Thank you, everyone, for your thoughtful contributions",user_87,12,"The text is a generic, polite acknowledgment that does not reveal any specific social value orientation. It appears to be a neutral, courteous response without clear indicators of self-interest, altruism, competition, or strategic social positioning.",0.5,None
"Response: Thank you, everyone, for your thoughtful contributions",user_88,12,"The text is a generic, polite acknowledgment that does not reveal any specific social value orientation. It appears to be a neutral, courteous response without clear indicators of self-interest, altruism, competition, or strategic social positioning.",0.5,None
The community agreed on a maximum limit of 5 tons of fish per person.,user_89,12,"The text suggests a collective decision that considers fairness and equal distribution of resources, with a limit that prevents individual overconsumption while ensuring everyone has an equal opportunity to fish",0.75,Prosocial
Julia values community input and collaboration,user_90,12,"The phrase suggests Julia prioritizes collective input and working together, which aligns with the prosocial orientation of maximizing outcomes for both self and others through collaboration",0.75,Prosocial
